PMID	NCBI_Gene	Mentions	Resource
7800381	24493	interleukin-1 alpha	GNormPlus
7800381	24835	tumor necrosis factor alpha	GNormPlus
7800478	6256	retinoid X receptor|RXR	GNormPlus
7800482	852810	RPB9	gene2pubmed|GNormPlus
7800482	854068	ADH1	GNormPlus
7800489	6285	nef	GNormPlus
7800498	22882	RAF|RNA polymerase activating factor	GNormPlus
7800498	5781	non-structural protein 1|NS1	GNormPlus
7800499	20468888	cyclic AMP receptor protein|CAP	GNormPlus
7800457	717	CO2	GNormPlus
7800579	1906	ET-1|Endothelin-1|endothelin-1	GNormPlus
7800585	3630	insulin	GNormPlus
7800637	292	T-2	GNormPlus
7800649	418049	Rhodanese|rhodanese	GNormPlus
7800505	5321	cPLA2|cytosolic phospholipase A2	GNormPlus|gene2pubmed
7800505	3458	interferon-gamma	GNormPlus
7800566	1442	CSH, 1	GNormPlus
7800566	1443	CSH, 2	GNormPlus
7800726	25298	CCK	GNormPlus
7800740	12575	P21	GNormPlus
7800740	13184	P20	GNormPlus
7800740	20194	P10	GNormPlus
7800711	2147	serine protease	GNormPlus
7800679	15111	Th2	GNormPlus
7800679	3565	IL-4	GNormPlus
7800679	3567	IL-5	GNormPlus
7800679	51497	Th1	GNormPlus
7800679	57314	Th1	GNormPlus
7800689	403845	fibronectin	GNormPlus
7800688	15461	p21ras	GNormPlus
7800688	16367	insulin receptor substrate-1	GNormPlus
7800688	19123	Proc	GNormPlus
7800856	4922	neurotensin/neuromedin N	GNormPlus
7800856	611687	neurotensin	GNormPlus
7800912	373156	Glutathione S-transferase|GST	GNormPlus
7800933	116637	CCl4	GNormPlus
7800935	3558	lymphokine	GNormPlus
7800938	3683	LFA-1	GNormPlus
7800940	3558	IL2	GNormPlus
7800941	3569	IL6	GNormPlus
7800941	7124	TNF alpha	GNormPlus
7800951	653820	p17	GNormPlus
7800826	759	CA1	GNormPlus
7800847	395564	PP|pancreatic polypeptide	GNormPlus
7800847	396464	neuropeptide Y	GNormPlus
7800850	443329	growth hormone|GH	GNormPlus
7800853	7432	VIP|VIP (1-100 nM	GNormPlus
7800854	475257	NPY|Neuropeptide Y	GNormPlus
7800989	3569	IL-6|interleukin-6	GNormPlus
7800989	7124	TNF-alpha|tumor necrosis factor	GNormPlus
7801023	23092	Graf	GNormPlus
7801114	3981	DNA repair enzyme	GNormPlus
7800952	3689	CD18	GNormPlus
7800954	10242	beta 2	GNormPlus
7800958	4353	myeloperoxidase|Myeloperoxidase|MPO	GNormPlus
7800972	551	antidiuretic hormone	GNormPlus
7800982	920	CD4	GNormPlus
7800982	925	CD8	GNormPlus
7800985	4582	CA 15-3	GNormPlus
7801073	2033	P300	GNormPlus
7801093	717	CO2	GNormPlus
7801102	5241	progesterone-receptor	GNormPlus
7801123	6908	TATA-binding protein|TBP	gene_interactions|BioGRID|MESH|HPRD|GNormPlus|gene2pubmed
7801123	9013	SL1|TAFI110	gene2pubmed|BioGRID|GNormPlus|gene_interactions|MESH
7801123	6872	TAFII250	GNormPlus
7801128	6598	INI1|integrase interactor 1	gene_interactions|GNormPlus|MESH|gene2pubmed
7801128	852592	SNF5	GNormPlus
7801052	4580	MTX	GNormPlus
7801055	151516	SASP	GNormPlus
7801056	1906	ET-1|Endothelin-1|endothelin-1	GNormPlus
7801059	3106	HLA-B27	GNormPlus
7801069	391109	OR 1.6	GNormPlus
7801069	4994	OR 4.0	GNormPlus
7801139	6741	SSB	GNormPlus
7801139	968	CD68	GNormPlus
7801140	5394	PM-Scl	GNormPlus
7801142	1437	granulocyte-macrophage colony-stimulating factor	GNormPlus
7801147	1437	Granulocyte-macrophage colony-stimulating factor	GNormPlus
7801220	1906	endothelin-1 and cyclooxygenase	GNormPlus
7801299	17967	N-CAM|neural cell adhesion molecule	GNormPlus|gene2pubmed
7801299	18505	splotch	GNormPlus|gene2pubmed
7801318	301252	hsp84	GNormPlus
7801318	63868	hsp60	GNormPlus
7801327	231691	SDH	GNormPlus
7801327	25044	SDH	GNormPlus
7801327	25721	aspartate aminotransferase|AST	GNormPlus
7801327	76282	alanine aminotransferase|ALT	GNormPlus
7801328	100735368	CCl4	GNormPlus
7801339	183	angiotensin II	GNormPlus
7801339	3630	insulin	GNormPlus
7801342	6395	sea|Sea	GNormPlus
7801346	24323	ET-1|endothelin-1	GNormPlus
7801346	366270	endothelin-3|ET-3	GNormPlus
7801198	6737	SS-A	GNormPlus
7801199	6741	SSB	GNormPlus
7801205	3569	IL-6	GNormPlus
7801205	7124	TNF-alpha	GNormPlus
7801205	920	CD4	GNormPlus
7801205	925	CD8	GNormPlus
7801414	2796	LH-RH	GNormPlus
7801417	1906	endothelin-1	GNormPlus
7801417	1908	endothelin-3	GNormPlus
7801428	7431	vimentin	GNormPlus|MESH
7801429	100059734	glucose-6-phosphate dehydrogenase|G6PD	GNormPlus
7801429	2539	G6PD|Glucose-6-phosphate dehydrogenase	GNormPlus
7801465	403795	growth hormone	GNormPlus
7801347	12504	CD4	GNormPlus
7801347	12506	CD4-8	GNormPlus
7801347	21331	T-2	GNormPlus
7801388	1756	dystrophin	GNormPlus|MESH
7801584	5617	prolactin|Prolactin	GNormPlus
7801511	100188845	CODA	GNormPlus
7801517	1489587	VP1	GNormPlus
7801517	1489588	VP2	GNormPlus
7801657	795	CabP	GNormPlus
7801659	8513	Gastric lipase	GNormPlus
7801688	253260	Pia	GNormPlus
7801702	2688	growth hormone	GNormPlus
7801702	2691	"Growth hormone releasing hormone""|GHRH"	GNormPlus
7801603	718	C3a	GNormPlus
7801603	720	C4a	GNormPlus
7801603	728	C5a	GNormPlus
7801609	2875	alanine aminotransferase	GNormPlus
7801611	2533	Fyb	GNormPlus
7801611	28	ABO	GNormPlus
7801612	28	ABO	GNormPlus
7801615	2720	beta-galactosidase	GNormPlus
7801617	2993	glycophorin A	GNormPlus
7801617	7485	Wrb	GNormPlus
7801625	2244	fibrinogen	GNormPlus
7801633	717	CO2	GNormPlus
7801725	7431	vimentin	GNormPlus|MESH
7801725	4000	lamin	GNormPlus
7801727	16160	P40	GNormPlus
7801727	2201	CCA|Sepharose 4 B coupled with 1 G 10 IgG, colonic carcinoma-associated antigen (CCA)	GNormPlus
7801766	24179	angiotensin II	GNormPlus
7801766	24323	ET-1|Endothelin-1|endothelin-1	GNormPlus
7801767	5319	phospholipase A2|PLA2	GNormPlus
7801776	107698	Tim	GNormPlus
7801776	11555	beta 2-adrenoceptor	GNormPlus
7801776	16728	L-1 and 113 +/- 6, 6.3	GNormPlus
7801779	100716297	Rb1	GNormPlus
7801783	24323	Endothelin-1|endothelin-1	GNormPlus
7801791	246281	Hydroxyindole-O-methyltransferase|hydroxyindole-O-methyltransferase|HIOMT	GNormPlus
7801791	396286	HIOMT	GNormPlus
7801714	6717	Sri	GNormPlus
7801887	4613	N-myc	GNormPlus
7801889	3383	ICAM1	GNormPlus
7801889	6401	E-selectin	GNormPlus
