PMID	Sentence	Source	Target	Label
7801123	How the universal transcription factor -6908- becomes committed to a TFIID or -9013- complex has not been known$	-6908->6908>0	-9013->9013>0	Negative
7801123	When -6908- was bound first by either -9013-, 63, or 48, subunits of TFIID such as -6872- and 150 did not bind -6908-$	-6908->6908>1	-6872->6872>0	Negative
7801123	Conversely, if -6908- first formed a complex with -6872- or 150, the subunits of -9013- did not bind -6908-$	-6908->6908>1	-9013->9013>0	Negative
7803266	In contrast to the -2056- -independent BFU-E, the -2056- -dependent erythroid colony formation from PV patients could not be augmented by -3552-$	-2056->2056>0	-3552->3552>0	Negative
7803266	In contrast to the -2056- -independent BFU-E, the -2056- -dependent erythroid colony formation from PV patients could not be augmented by -3552-$	-2056->2056>1	-3552->3552>0	Negative
7803266	This enhancing effect of -3552- was not only observed with unsorted but also with sorted -947-+ cells$	-3552->3552>0	-947->947>0	Negative
7803266	However, the suppressive effect of -3565- was not related to a decline in spontaneous release of -3552-, because an anti- -3552- antibody did not modify the spontaneous erythroid colony formation$	-3552->3552>0	-3565->3565>0	Negative
7804532	Induction of cytolytic activities by -3586- was neutralized by anti- -3586- monoclonal antibodies but not by antibodies against -3458- or -7124-$	-3458->3458>0	-3586->3586>0	Negative
7804532	Induction of cytolytic activities by -3586- was neutralized by anti- -3586- monoclonal antibodies but not by antibodies against -3458- or -7124-$	-3458->3458>0	-7124->7124>0	Negative
7804532	Induction of cytolytic activities by -3586- was neutralized by anti- -3586- monoclonal antibodies but not by antibodies against -3458- or -7124-$	-3586->3586>0	-7124->7124>0	Negative
7804532	Finally, -3586- is not affected by inhibitors of -3558-, such as -3565- and transforming growth factor-beta$	-3558->3558>0	-3586->3586>0	Negative
7804532	Finally, -3586- is not affected by inhibitors of -3558-, such as -3565- and transforming growth factor-beta$	-3565->3565>0	-3586->3586>0	Negative
7805753	On the other hand, -7124-, but not other cytokines including -3553-, -3562-, -3567-, -3569-, interferon-alpha (-3439-) or -3458-, inhibited -3565- -mediated growth, and inhibition by -7124- was blocked by anti- -7124- Ab but not by control IgG$	-3439->3439>0	-3565->3565>0	Negative
7805753	On the other hand, -7124-, but not other cytokines including -3553-, -3562-, -3567-, -3569-, interferon-alpha (-3439-) or -3458-, inhibited -3565- -mediated growth, and inhibition by -7124- was blocked by anti- -7124- Ab but not by control IgG$	-3458->3458>0	-3565->3565>0	Negative
7805753	On the other hand, -7124-, but not other cytokines including -3553-, -3562-, -3567-, -3569-, interferon-alpha (-3439-) or -3458-, inhibited -3565- -mediated growth, and inhibition by -7124- was blocked by anti- -7124- Ab but not by control IgG$	-3553->3553>0	-3565->3565>0	Negative
7805753	On the other hand, -7124-, but not other cytokines including -3553-, -3562-, -3567-, -3569-, interferon-alpha (-3439-) or -3458-, inhibited -3565- -mediated growth, and inhibition by -7124- was blocked by anti- -7124- Ab but not by control IgG$	-3562->3562>0	-3565->3565>0	Negative
7805753	On the other hand, -7124-, but not other cytokines including -3553-, -3562-, -3567-, -3569-, interferon-alpha (-3439-) or -3458-, inhibited -3565- -mediated growth, and inhibition by -7124- was blocked by anti- -7124- Ab but not by control IgG$	-3565->3565>0	-3567->3567>0	Negative
7805753	On the other hand, -7124-, but not other cytokines including -3553-, -3562-, -3567-, -3569-, interferon-alpha (-3439-) or -3458-, inhibited -3565- -mediated growth, and inhibition by -7124- was blocked by anti- -7124- Ab but not by control IgG$	-3565->3565>0	-3569->3569>0	Negative
7805753	In contrast, -3576- did not inhibit -3558- -induced growth of B cells$	-3558->3558>0	-3576->3576>0	Negative
7805753	-3576- had no effect in binding of -3565-, -3558- or -7124- by B cells, however, it enhanced -7124- production by B cells$	-3558->3558>0	-3576->3576>0	Negative
7805753	-3576- had no effect in binding of -3565-, -3558- or -7124- by B cells, however, it enhanced -7124- production by B cells$	-3565->3565>0	-3576->3576>0	Negative
7805753	-3576- had no effect in binding of -3565-, -3558- or -7124- by B cells, however, it enhanced -7124- production by B cells$	-3576->3576>0	-7124->7124>0	Negative
7805753	-3565- had no effect on -7124- binding by B cells while it decreased -7124- production by B cells$	-3565->3565>0	-7124->7124>0	Negation
7805649	-5310- but not -8535- is found in corticotroph cells of the anterior pituitary and cleaves -5443- to generate NT, JP, ACTH, beta LPH and small amounts of gamma LPH and beta end$	-5443->5443>0	-8535->8535>0	Negation
7805877	The homologous F-actin binding domains from -1756- and -87- were not regulated by -801- in the presence or absence of calcium$	-1756->1756>0	-801->801>0	Negation
7805877	The homologous F-actin binding domains from -1756- and -87- were not regulated by -801- in the presence or absence of calcium$	-801->801>0	-87->87>0	Negation
7806967	Similarly, the peptides glucagon (10(-7) M and 10(-5) M for 4 h) and -81668- (100 ng ml for 24 h) resulted in increased medium glycerol and had no effect on -25330- mRNA levels in adipocytes$	-25330->25330>0	-81668->81668>0	Negation
7808456	Cell culture models representing the tissue-specific expression of either -1160- or -1159- are available, but there are no adequate developmental models to examine their regulation$	-1159->1159>0	-1160->1160>0	Negation
7807585	-1950- (-1950-) was mitogenic for the cultured cells but not platelet derived growth factor alpha (PDGF AA) or -4803- (-4803-)$	-1950->1950>0	-4803->4803>0	Negation
7807585	-1950- (-1950-) was mitogenic for the cultured cells but not platelet derived growth factor alpha (PDGF AA) or -4803- (-4803-)$	-1950->1950>0	-4803->4803>1	Negation
7807585	-1950- (-1950-) was mitogenic for the cultured cells but not platelet derived growth factor alpha (PDGF AA) or -4803- (-4803-)$	-1950->1950>1	-4803->4803>0	Negation
7807585	-1950- (-1950-) was mitogenic for the cultured cells but not platelet derived growth factor alpha (PDGF AA) or -4803- (-4803-)$	-1950->1950>1	-4803->4803>1	Negation
7809631	Expression of -25163- suppressed cellular transformation of primary rat embryo fibroblasts by oncogenic Ha-Ras and -24577-, but not by Ha-Ras and -25244-$	-24577->24577>0	-25244->25244>0	Negation
7809631	Expression of -25163- suppressed cellular transformation of primary rat embryo fibroblasts by oncogenic Ha-Ras and -24577-, but not by Ha-Ras and -25244-$	-25163->25163>0	-25244->25244>0	Negation
7809928	This -7056- spike was not correlated with the progressive -5327- (-5327-) increase, -5054- (-5054-), or -7450- (-7450-) values$	-7056->7056>0	-5054->5054>0	Negation
7809928	This -7056- spike was not correlated with the progressive -5327- (-5327-) increase, -5054- (-5054-), or -7450- (-7450-) values$	-7056->7056>0	-5054->5054>1	Negation
